10 6396 21515
0 0 0.392558 -0.254322
1 0 0.422728 -0.188614
0 1 0.297804 -0.173478
1 1 0.303595 -0.0718964
0 2 0.257892 -0.14982
1 2 0.26221 -0.0505571
0 3 0.473815 -0.146717
1 3 0.490269 -0.0608476
0 4 0.385452 -0.146102
1 4 0.391212 -0.0439891
0 5 0.285631 -0.138916
1 5 0.287636 -0.0359131
0 6 0.35614 -0.137661
1 6 0.359644 -0.0337461
0 7 0.105097 -0.13617
1 7 0.116449 -0.0576448
0 8 0.415535 -0.136152
1 8 0.421316 -0.0349027
0 9 0.360817 -0.133488
1 9 0.363899 -0.0292868
0 10 0.372191 -0.133918
1 10 0.375076 -0.0300768
0 11 0.39767 -0.133832
1 11 0.402643 -0.0312915
0 12 0.349821 -0.133136
1 12 0.35125 -0.0282708
0 13 0.472392 -0.132327
1 13 0.486982 -0.0444234
0 14 0.37671 -0.131033
1 14 0.380098 -0.027566
0 15 0.364765 -0.12974
1 15 0.369036 -0.0266057
0 16 0.343141 -0.128976
1 16 0.345762 -0.024595
0 17 0.37865 -0.12608
1 17 0.381168 -0.0221106
0 18 0.35702 -0.124619
1 18 0.359304 -0.0203799
0 19 0.367551 -0.12507
1 19 0.369873 -0.0210438
0 20 0.449272 -0.12446
1 20 0.458048 -0.0296086
0 21 0.394351 -0.1235
1 21 0.398001 -0.0204049
0 22 0.361949 -0.120556
1 22 0.363795 -0.016311
0 23 0.349703 -0.119401
1 23 0.351392 -0.0150752
0 24 0.325969 -0.117337
1 24 0.32629 -0.0126126
0 25 0.308159 -0.112828
1 25 0.308333 -0.00849367
0 26 0.357279 -0.110438
1 26 0.358125 -0.00614992
0 27 0.313588 -0.109825
1 27 0.313206 -0.00499285
0 28 0.367716 -0.105628
1 28 0.367397 -0.0011164
0 29 0.308159 -0.104983
1 29 0.308129 -0.000797585
0 30 0.345641 -0.103379
1 30 0.345205 0.0012341
0 31 0.453172 -0.103317
1 31 0.46116 -0.010342
0 32 0.295331 -0.102777
1 32 0.294336 0.00157836
0 33 0.283429 -0.100638
1 33 0.282839 0.00281463
0 34 0.340193 -0.0995109
1 34 0.340129 0.0051094
0 35 0.295962 -0.0965049
1 35 0.294001 0.00836088
0 36 0.371526 -0.0962525
1 36 0.371556 0.00696012
0 37 0.314836 -0.0959037
1 37 0.313773 0.00898277
0 38 0.28398 -0.0948253
1 38 0.281758 0.00966402
0 39 0.36123 -0.0950839
1 39 0.360499 0.00858651
0 40 0.329073 -0.092035
1 40 0.327608 0.0129561
0 41 0.318276 -0.0905839
1 41 0.31627 0.0144987
0 42 0.194948 -0.0877613
1 42 0.193679 0.0132177
0 43 0.291709 -0.0856266
1 43 0.289059 0.0190026
0 44 0.324812 -0.0813647
1 44 0.321877 0.0241125
0 45 0.349681 -0.0820695
1 45 0.348304 0.0217972
0 46 0.27277 -0.0789398
1 46 0.270635 0.0240992
0 47 0.455136 -0.0790567
1 47 0.462629 0.0114076
0 48 0.319197 -0.0763142
1 48 0.316981 0.0286573
0 49 0.361352 -0.0762567
1 49 0.359265 0.0273364
0 50 0.326646 -0.0759745
1 50 0.323394 0.0295887
0 51 0.285923 -0.0750406
1 51 0.282985 0.0295642
0 52 0.448378 -0.074842
1 52 0.453538 0.016892
0 53 0.366809 -0.0738168
1 53 0.365483 0.0291539
0 54 0.353343 -0.0708662
1 54 0.350311 0.032974
0 55 0.287734 -0.0690293
1 55 0.284149 0.0355652
0 56 0.26768 -0.0674518
1 56 0.264561 0.0356775
0 57 0.357194 -0.0665819
1 57 0.353856 0.0372947
0 58 0.324992 -0.0658688
1 58 0.321305 0.0390906
0 59 0.345876 -0.0657159
1 59 0.342259 0.0382317
0 60 0.331026 -0.0640455
1 60 0.326839 0.0411266
0 61 0.269155 -0.0616588
1 61 0.26491 0.0427203
0 62 0.36114 -0.0569708
1 62 0.358188 0.045823
0 63 0.323339 -0.0557149
1 63 0.317809 0.0500817
0 64 0.411124 -0.0536069
1 64 0.41162 0.0431389
0 65 0.355755 -0.0529256
1 65 0.352327 0.0498581
0 66 0.32962 -0.0517286
1 66 0.324856 0.0524945
0 67 0.342058 -0.0498138
1 67 0.338153 0.0538383
0 68 0.321081 -0.0438392
1 68 0.315627 0.0609855
0 69 0.344651 -0.0419337
1 69 0.339951 0.0617439
0 70 0.333202 -0.0395016
1 70 0.327773 0.064791
0 71 0.266612 -0.0388659
1 71 0.260693 0.0659513
0 72 0.317132 -0.0376443
1 72 0.310772 0.0672153
0 73 0.300906 -0.0322182
1 73 0.293654 0.0734016
0 74 0.349113 -0.0306863
1 74 0.343634 0.071718
0 75 0.356414 -0.0294059
1 75 0.351184 0.0734229
0 76 0.265412 -0.0232255
1 76 0.256905 0.0826074
0 77 0.277332 -0.0238268
1 77 0.269365 0.0820216
0 78 0.380465 -0.0214437
1 78 0.375882 0.077237
0 79 0.20291 -0.0199757
1 79 0.196004 0.0842483
0 80 0.271261 -0.019587
1 80 0.262964 0.0864266
0 81 0.254896 -0.0172327
1 81 0.246219 0.0890598
0 82 0.2856 -0.0143812
1 82 0.276734 0.0913515
0 83 0.19558 -0.0135548
1 83 0.188018 0.0903446
0 84 0.0379943 -0.00994212
1 84 0.0390872 0.0799129
0 85 0.256218 -0.00950232
1 85 0.24633 0.0969781
0 86 0.319299 -0.00995302
1 86 0.310833 0.0942085
0 87 0.0314624 -0.00802543
1 87 0.0327373 0.0805348
0 88 0.112515 -0.00799607
1 88 0.107696 0.0904437
0 89 0.324684 -0.00773173
1 89 0.316404 0.0962185
0 90 0.440996 -0.00697159
1 90 0.440995 0.0799182
0 91 0.331762 -0.00549107
1 91 0.323335 0.0982788
