9 6705 24477
1 99 0.294066 0.0509964
0 100 0.535012 -0.0181594
1 100 0.412561 0.0509756
0 101 0.276047 -0.0160149
1 101 0.164484 0.0497697
0 102 -0.355471 -0.0150864
1 102 -0.480982 0.050316
0 103 0.373079 -0.0156604
1 103 0.250291 0.0525573
0 104 0.357354 -0.0139372
1 104 0.235285 0.0542237
0 105 0.408922 -0.0117746
1 105 0.284031 0.0574268
0 106 0.462115 -0.0118803
1 106 0.332741 0.0576784
0 107 0.366387 -0.00932451
1 107 0.243113 0.0584204
0 108 0.423423 -0.00116954
1 108 0.298545 0.0684899
0 109 0.0560685 0.00609144
1 109 -0.0423019 0.0665048
0 110 0.302423 0.00818298
1 110 0.182719 0.0747139
0 111 0.302188 0.01374
1 111 0.182513 0.0804113
0 112 0.427808 0.015384
1 112 0.296838 0.0845056
0 113 0.314853 0.0191989
1 113 0.194217 0.0855999
0 114 0.378814 0.020987
1 114 0.249723 0.0894415
0 115 0.104578 0.0267848
1 115 -0.0327453 0.0945569
0 116 0.112294 0.0273521
1 116 -0.0252368 0.0946031
0 117 -0.0806635 0.0284612
1 117 -0.18849 0.0901783
0 118 0.426199 0.0341409
1 118 0.295798 0.10354
0 119 -0.0797454 0.0363141
1 119 -0.187896 0.098129
0 120 0.0863979 0.0359058
1 120 -0.0540648 0.104023
0 121 0.322395 0.0365086
1 121 0.201281 0.102452
0 122 0.448591 0.0366956
1 122 0.315824 0.105265
0 123 0.510554 0.0395599
1 123 0.377218 0.108194
0 124 0.452177 0.0406221
1 124 0.319948 0.109139
0 125 0.457398 0.0429804
1 125 0.325761 0.112034
0 126 0.505924 0.0431297
1 126 0.373391 0.112514
0 127 -0.402608 0.0437206
1 127 -0.530582 0.106879
0 128 0.538599 0.0457452
1 128 0.411044 0.115742
0 129 0.450208 0.0467371
1 129 0.318478 0.115272
0 130 0.503251 0.0474606
1 130 0.371322 0.117017
0 131 0.307456 0.049285
1 131 0.187595 0.114137
0 132 0.498907 0.0495049
1 132 0.366411 0.117762
0 133 0.533199 0.0488011
1 133 0.403861 0.117662
0 134 0.512727 0.0518482
1 134 0.380874 0.120771
0 135 0.537098 0.0536011
1 135 0.40776 0.122745
0 136 0.498997 0.0551535
1 136 0.366936 0.12411
0 137 0.492854 0.0558256
1 137 0.360599 0.124709
0 138 0.527469 0.0564336
1 138 0.397562 0.125335
0 139 -0.0968249 0.0592609
1 139 -0.202926 0.119193
0 140 0.50385 0.0612659
1 140 0.373585 0.129473
0 141 0.399764 0.0655943
1 141 0.2718 0.132822
0 142 0.500232 0.0670249
1 142 0.370654 0.135572
0 143 0.411713 0.0684109
1 143 0.282965 0.136139
0 144 -0.0697272 0.0693913
1 144 -0.177906 0.130585
0 145 -0.0664746 0.0757177
1 145 -0.174974 0.136645
0 146 0.31139 0.0753573
1 146 0.193586 0.139347
0 147 0.399156 0.0770781
1 147 0.271006 0.14443
0 148 0.107676 0.0787394
1 148 -0.0380109 0.146002
0 149 0.422743 0.0784291
1 149 0.293148 0.145522
0 150 0.393828 0.079235
1 150 0.265892 0.146274
0 151 -0.0926787 0.0813503
1 151 -0.201445 0.141537
0 152 0.432697 0.0815338
1 152 0.303043 0.149583
0 153 0.383127 0.0822907
1 153 0.257678 0.149279
0 154 0.108173 0.0847602
1 154 -0.0360504 0.151152
0 155 0.135686 0.0849679
1 155 -0.00923592 0.151827
0 156 0.386354 0.0872628
1 156 0.260362 0.153707
0 157 0.21424 0.0913887
1 157 0.0794258 0.156637
0 158 0.000309957 0.0932916
1 158 -0.129005 0.157303
0 159 0.430914 0.0929946
1 159 0.302389 0.160212
0 160 0.487281 0.0933945
1 160 0.359185 0.161252
0 161 -0.417783 0.0938892
1 161 -0.545079 0.15432
0 162 0.120208 0.0965881
1 162 -0.0233967 0.163123
0 163 0.410556 0.0971411
1 163 0.28273 0.16416
0 164 0.208817 0.101683
1 164 0.0761594 0.16787
0 165 0.488412 0.103981
1 165 0.361377 0.171521
0 166 0.137226 0.1069
1 166 -0.00324263 0.171547
0 167 0.0916637 0.107986
1 167 -0.0507035 0.17341
0 168 0.152268 0.109185
1 168 0.00878655 0.175241
0 169 0.0688847 0.111641
1 169 -0.0712861 0.175871
0 170 0.139295 0.112448
1 170 -0.00370785 0.178078
0 171 0.0827873 0.112983
1 171 -0.0585297 0.178107
0 172 0.140777 0.117342
1 172 -0.00204786 0.182477
0 173 0.102352 0.119003
1 173 -0.0379053 0.184672
0 174 0.0786932 0.162233
1 174 -0.0522755 0.224946
0 175 -0.406659 0.169381
1 175 -0.528786 0.226182
0 176 0.081491 0.17062
1 176 -0.0498674 0.232997
0 177 -0.367752 0.20039
1 177 -0.492704 0.2559
0 178 0.327316 -0.374653
1 178 0.202819 -0.292023
0 179 0.32303 -0.36241
1 179 0.196936 -0.279293
0 180 0.310964 -0.359454
1 180 0.185926 -0.277942
0 181 0.326066 -0.35336
1 181 0.197635 -0.270004
0 182 0.313339 -0.351272
1 182 0.186877 -0.269125
0 183 0.314531 -0.33768
1 183 0.186791 -0.256017
0 184 0.512383 -0.334583
1 184 0.357207 -0.247937
0 185 0.317692 -0.327719
1 185 0.186167 -0.24538
0 186 0.506222 -0.325798
1 186 0.350272 -0.239474
0 187 0.430247 -0.317509
1 187 0.27429 -0.231445
0 188 0.451339 -0.31663
1 188 0.294063 -0.229261
0 189 0.38743 -0.309661
1 189 0.238529 -0.224329
0 190 0.414529 -0.309647
1 190 0.261872 -0.224119
0 191 0.469262 -0.304427
1 191 0.31294 -0.217636
0 192 0.49 -0.30319
1 192 0.327988 -0.215836
0 193 -0.058507 -0.30112
1 193 -0.166526 -0.225657
0 194 -0.0724822 -0.300542
1 194 -0.180796 -0.224029
0 195 0.377014 -0.300541
1 195 0.228959 -0.216428
0 196 0.520617 -0.299735
1 196 0.359384 -0.212157
0 197 0.509617 -0.298332
1 197 0.346301 -0.212217
0 198 -0.0860494 -0.297079
1 198 -0.193644 -0.22049
0 199 0.396406 -0.297119
1 199 0.244768 -0.212212
0 200 0.38764 -0.291776
1 200 0.238997 -0.208567
0 201 -0.0409348 -0.280861
1 201 -0.150448 -0.206232
0 202 -0.0652509 -0.276311
1 202 -0.175288 -0.201688
0 203 -0.0824258 -0.274285
1 203 -0.190624 -0.199821
0 204 0.380097 -0.273285
1 204 0.23644 -0.191696
0 203 -0.0926971 -0.271628
0 205 -0.0734944 -0.269687
1 205 -0.181471 -0.194611
0 206 -0.0857951 -0.266314
1 206 -0.194787 -0.192005
0 207 0.387876 -0.263858
1 207 0.242539 -0.182419
0 208 -0.108497 -0.263005
1 208 -0.213266 -0.189229
0 209 -0.0744561 -0.26051
1 209 -0.183461 -0.186674
0 210 -0.105687 -0.254501
1 210 -0.209273 -0.181949
0 211 -0.0487445 -0.254991
1 211 -0.158844 -0.181272
0 212 -0.0819877 -0.253281
1 212 -0.191051 -0.179694
0 213 -0.0404583 -0.252125
1 213 -0.150554 -0.178989
0 214 -0.332202 -0.251913
1 214 -0.439103 -0.17697
0 215 -0.314511 -0.25008
1 215 -0.421917 -0.175708
0 216 -0.288838 -0.249732
1 216 -0.394551 -0.175961
0 217 -0.306714 -0.24741
1 217 -0.414253 -0.172118
0 218 -0.112526 -0.247241
1 218 -0.21539 -0.175039
0 219 -0.278788 -0.245548
1 219 -0.385973 -0.171841
0 220 -0.0857474 -0.244124
1 220 -0.194549 -0.170781
0 221 -0.298486 -0.242601
1 221 -0.405629 -0.168789
0 222 -0.0416415 -0.241949
1 222 -0.151824 -0.168786
0 223 -0.338534 -0.241791
1 223 -0.446102 -0.167868
0 224 -0.327162 -0.241587
1 224 -0.43569 -0.167656
0 225 -0.306628 -0.240113
1 225 -0.413815 -0.167022
0 226 -0.028346 -0.239163
1 226 -0.137017 -0.165911
0 227 -0.049591 -0.238307
1 227 -0.159552 -0.164913
0 228 -0.318293 -0.236381
1 228 -0.425883 -0.162505
0 229 -0.334207 -0.232777
1 229 -0.441817 -0.158745
0 230 -0.277274 -0.233668
1 230 -0.384125 -0.160247
0 231 -0.0958655 -0.233661
1 231 -0.204896 -0.161224
0 232 -0.344256 -0.232122
1 232 -0.451418 -0.158603
0 233 -0.268726 -0.231797
1 233 -0.375671 -0.158791
0 234 -0.309815 -0.230915
1 234 -0.417471 -0.15743
0 235 -0.087357 -0.22744
1 235 -0.197385 -0.154509
0 236 -0.350298 -0.225621
1 236 -0.457051 -0.15242
0 237 -0.0493538 -0.226225
1 237 -0.158984 -0.154056
0 238 -0.283324 -0.224138
1 238 -0.391063 -0.151483
0 239 -0.321817 -0.222331
1 239 -0.429446 -0.149468
0 240 -0.00144622 -0.219748
1 240 -0.107756 -0.147043
0 241 0.362778 -0.220159
1 241 0.23656 -0.143461
0 242 -0.29089 -0.217295
1 242 -0.398725 -0.145016
0 243 -0.0609483 -0.214802
1 243 -0.171379 -0.142609
0 244 -0.324556 -0.213965
1 244 -0.431537 -0.141222
0 245 -0.272959 -0.213821
1 245 -0.381147 -0.141451
0 246 -0.263942 -0.213227
1 246 -0.372067 -0.141249
0 247 -0.349177 -0.212183
1 247 -0.456116 -0.139867
0 248 -0.31152 -0.21069
1 248 -0.419131 -0.138782
0 249 -0.297836 -0.209298
1 249 -0.405878 -0.137379
0 250 -0.0978277 -0.204628
1 250 -0.202037 -0.133415
0 251 0.359429 -0.202172
1 251 0.236803 -0.127947
0 252 -0.00266567 -0.197324
1 252 -0.11127 -0.126271
0 253 0.00714211 -0.197751
1 253 -0.10138 -0.126983
0 254 -0.101225 -0.195566
1 254 -0.203799 -0.126679
0 255 -0.0758922 -0.194957
1 255 -0.181759 -0.125175
0 256 -0.0502247 -0.195227
1 256 -0.157899 -0.124676
0 257 0.353471 -0.19425
1 257 0.230745 -0.120551
0 258 -0.319112 -0.188994
1 258 -0.426024 -0.118682
0 259 -0.0307644 -0.188825
1 259 -0.138784 -0.118836
0 260 0.0146782 -0.187403
1 260 -0.0958561 -0.117558
0 261 -0.269904 -0.183284
1 261 -0.375176 -0.113761
0 262 -0.0936374 -0.181674
1 262 -0.197519 -0.11325
0 263 0.00491107 -0.180241
1 263 -0.105218 -0.110495
0 264 0.517003 -0.179676
1 264 0.393554 -0.106618
0 265 -0.011198 -0.177939
1 265 -0.120839 -0.108105
0 266 0.0170445 -0.17668
1 266 -0.0929509 -0.107442
0 267 -0.0121774 -0.166855
1 267 -0.1204 -0.0964791
0 268 0.0170193 -0.167423
1 268 -0.0928007 -0.0978386
0 269 0.46686 -0.166292
1 269 0.32551 -0.089615
0 270 -0.246677 -0.165127
1 270 -0.350843 -0.0965877
0 271 0.357949 -0.163455
1 271 0.236801 -0.0913594
0 272 -0.30903 -0.162096
1 272 -0.413106 -0.0947255
0 273 0.45385 -0.161398
1 273 0.314133 -0.0855726
0 274 -0.236202 -0.160606
1 274 -0.33976 -0.0931698
0 275 -0.263644 -0.160218
1 275 -0.370924 -0.0915432
0 276 -0.283227 -0.1582
1 276 -0.387025 -0.0899956
0 277 -0.339458 -0.156088
1 277 -0.443059 -0.0885408
0 278 -0.254002 -0.154427
1 278 -0.35914 -0.0863603
0 279 0.00901164 -0.153209
1 279 -0.102057 -0.0846095
0 280 -0.262385 -0.150797
1 280 -0.368129 -0.0825293
0 281 0.488214 -0.150454
1 281 0.350267 -0.0750588
0 282 0.337781 -0.149282
1 282 0.213769 -0.0768259
0 283 -0.0231077 -0.147556
1 283 -0.132579 -0.0790681
0 284 0.452679 -0.145428
1 284 0.314455 -0.0701832
0 285 -0.254332 -0.142717
1 285 -0.35957 -0.0738521
0 286 0.442423 -0.142153
1 286 0.305206 -0.0664327
0 287 -0.321283 -0.141487
1 287 -0.424539 -0.0729974
0 288 -0.263147 -0.139783
1 288 -0.36872 -0.07117
0 289 0.00260641 -0.138326
1 289 -0.10706 -0.0697035
0 290 -0.345036 -0.136386
1 290 -0.447387 -0.0702721
0 291 0.452971 -0.135496
1 291 0.317505 -0.0612952
0 292 -0.315717 -0.133997
1 292 -0.419286 -0.0675915
0 293 0.434901 -0.134341
1 293 0.30006 -0.0590332
0 294 0.471537 -0.13476
1 294 0.33406 -0.0597296
0 295 0.0607252 -0.133456
1 295 -0.00370543 -0.0741996
0 296 -0.0163838 -0.132393
1 296 -0.126013 -0.0642119
0 297 -0.334193 -0.125916
1 297 -0.437429 -0.0595808
0 298 -0.318716 -0.121748
1 298 -0.422125 -0.0549435
0 299 0.497027 -0.119505
1 299 0.360335 -0.0465003
0 300 0.489706 -0.117657
1 300 0.352796 -0.0436034
0 301 -0.0860684 -0.117266
1 301 -0.201936 -0.0497374
0 302 -0.0766541 -0.116748
1 302 -0.192428 -0.0496763
0 303 -0.157157 -0.116261
1 303 -0.279026 -0.0471726
0 304 -0.178128 -0.114631
1 304 -0.299337 -0.0459364
0 305 0.503231 -0.113216
1 305 0.36531 -0.0397545
0 306 -0.102708 -0.110365
1 306 -0.217133 -0.0418124
0 307 0.512817 -0.111085
1 307 0.376547 -0.0381856
0 308 -0.272544 -0.109328
1 308 -0.38455 -0.0415951
0 309 0.493617 -0.108944
1 309 0.356887 -0.0355263
0 310 -0.352663 -0.10792
1 310 -0.454571 -0.0429924
0 311 -0.0909099 -0.107651
1 311 -0.207026 -0.0399645
0 312 -0.0732053 -0.108188
1 312 -0.187981 -0.0402804
0 313 0.471238 -0.107917
1 313 0.334709 -0.0342362
0 314 -0.362496 -0.105839
1 314 -0.464321 -0.0405118
0 315 -0.200288 -0.106126
1 315 -0.319255 -0.037819
0 316 0.45178 -0.104745
1 316 0.316541 -0.0311321
0 317 -0.315868 -0.104324
1 317 -0.42029 -0.0376191
0 318 0.322363 -0.101422
1 318 0.202427 -0.0315244
0 319 -0.119148 -0.100607
1 319 -0.237031 -0.032238
0 320 -0.345671 -0.100037
1 320 -0.448387 -0.0353432
0 321 -0.0761326 -0.0985311
1 321 -0.190363 -0.0302619
0 322 0.473349 -0.0987795
1 322 0.335808 -0.0247384
0 323 0.483792 -0.0989725
1 323 0.347362 -0.0256572
0 324 0.493559 -0.0948314
1 324 0.356566 -0.0209805
0 325 -0.0914389 -0.0938184
1 325 -0.206973 -0.0260559
0 326 -0.12053 -0.0923771
1 326 -0.239665 -0.0246619
0 327 -0.0836085 -0.0921378
1 327 -0.198703 -0.0255346
0 328 -0.328731 -0.0915344
1 328 -0.43536 -0.0274692
0 329 -0.253109 -0.0911375
1 329 -0.366162 -0.0245753
0 330 0.478016 -0.0917234
1 330 0.338829 -0.0185412
0 331 0.444707 -0.0903596
1 331 0.309107 -0.0181946
0 332 0.451806 -0.0903483
1 332 0.315411 -0.0175229
0 333 -0.129283 -0.0893117
1 333 -0.24833 -0.0217266
0 334 -0.311004 -0.0875234
1 334 -0.416864 -0.0217596
0 335 0.432803 -0.0877815
1 335 0.299099 -0.0155882
0 336 -0.264204 -0.0863376
1 336 -0.377173 -0.020179
0 337 -0.230073 -0.0863788
1 337 -0.345062 -0.0193869
0 338 -0.337968 -0.0846637
1 338 -0.440061 -0.0212315
0 339 0.462206 -0.0844765
1 339 0.32561 -0.0116786
0 340 0.486916 -0.0833562
1 340 0.349579 -0.00905126
0 341 -0.203166 -0.0821913
1 341 -0.322313 -0.0148593
0 342 -0.211911 -0.0812973
1 342 -0.33078 -0.013877
0 343 0.425651 -0.0816849
1 343 0.291115 -0.00982361
0 344 0.503738 -0.081359
1 344 0.367492 -0.0083118
0 345 -0.130223 -0.0807509
1 345 -0.249387 -0.0133984
0 346 -0.19089 -0.0783276
1 346 -0.311689 -0.0106747
0 347 -0.181201 -0.07633
1 347 -0.30156 -0.00910247
0 348 -0.225079 -0.0721038
1 348 -0.343122 -0.00539467
0 349 0.421564 -0.0717895
1 349 0.289206 -9.359e-05
0 350 0.32535 -0.0710577
1 350 0.205631 -0.00265359
0 351 -0.251104 -0.0692557
1 351 -0.366813 -0.0036199
0 352 -0.23754 -0.068154
1 352 -0.353349 -0.00333294
0 353 -0.330753 -0.0658479
1 353 -0.432293 -0.00276201
0 354 0.330835 -0.0607378
1 354 0.213822 0.00711748
0 355 0.455233 -0.0608776
1 355 0.325962 0.0112022
0 356 -0.243473 -0.0587693
1 356 -0.359802 0.00653772
0 357 0.468531 -0.0565323
1 357 0.338767 0.0144598
0 358 0.420114 -0.0547851
1 358 0.287546 0.0160577
0 359 -0.0737335 -0.0528393
1 359 -0.18103 0.0110174
0 360 -0.230345 -0.0516788
1 360 -0.346409 0.013323
0 361 0.438113 -0.0523198
1 361 0.305278 0.0184867
0 362 0.333456 -0.0483185
1 362 0.219178 0.0181673
0 363 0.321609 -0.0458342
1 363 0.204668 0.0214343
0 364 0.446005 -0.0452078
1 364 0.316827 0.0248712
0 365 0.288948 -0.0428524
1 365 0.176744 0.0233061
0 366 0.476897 -0.0417385
1 366 0.350133 0.0286012
0 367 0.434669 -0.0409881
1 367 0.302467 0.029589
0 368 -0.241418 -0.0398029
1 368 -0.349184 0.0236984
0 369 0.338256 -0.0399238
1 369 0.222515 0.0279579
0 370 -0.372664 -0.034825
1 370 -0.494643 0.0307454
0 371 -0.360922 -0.0347959
1 371 -0.484329 0.0318701
0 372 0.396841 -0.032202
1 372 0.26969 0.0373549
0 373 0.385655 -0.029381
1 373 0.260295 0.0395199
0 374 -0.393232 -0.0281498
1 374 -0.517843 0.0380079
0 375 0.465552 -0.0271433
1 375 0.336777 0.0427125
0 376 -0.404054 -0.0257263
1 376 -0.527013 0.0400002
0 377 0.319859 -0.0254643
1 377 0.20365 0.0428069
0 378 0.505453 -0.0233511
1 378 0.376115 0.0473228
0 379 0.457239 -0.0218261
1 379 0.329354 0.0480918
0 380 -0.0801371 -0.0194952
1 380 -0.187821 0.0441424
0 381 0.360457 -0.0184042
1 381 0.238607 0.0489081
0 382 -0.0791115 -0.012423
1 382 -0.186788 0.0507325
0 383 0.420774 -0.0112278
1 383 0.293643 0.0579146
0 384 0.486567 -0.00950469
1 384 0.359317 0.0599674
0 385 -0.358752 -0.00803146
1 385 -0.484214 0.0563728
0 386 0.433495 -0.00770424
1 386 0.307243 0.0611977
0 387 0.470487 -0.00841285
1 387 0.340174 0.0622536
0 388 0.457518 -0.00455577
1 388 0.323448 0.0653227
0 389 -0.0738828 -0.00408366
1 389 -0.181303 0.0595431
0 390 0.412923 -0.00427761
1 390 0.285818 0.0639135
0 391 0.308787 -0.00338969
1 391 0.189032 0.0641151
0 392 -0.351768 0.000534275
1 392 -0.476802 0.0643462
0 393 0.312714 0.00652031
1 393 0.192343 0.0736739
0 394 0.370324 0.00879829
1 394 0.243975 0.0756999
0 395 0.471639 0.0115578
1 395 0.339356 0.0807629
0 396 0.504631 0.0119291
1 396 0.375993 0.0814486
0 397 0.404992 0.0124759
1 397 0.279786 0.0816614
0 398 -0.379771 0.0131889
1 398 -0.505629 0.0773081
0 399 0.431942 0.0156859
1 399 0.299517 0.085004
0 400 -0.389683 0.0182229
1 400 -0.514599 0.0809644
0 401 0.422393 0.0265757
1 401 0.290675 0.0958653
0 402 0.447308 0.0289024
1 402 0.314519 0.0978267
0 403 -0.403672 0.0306609
1 403 -0.531771 0.0947153
0 404 0.309823 0.0303424
1 404 0.190101 0.0964131
0 405 0.513049 0.0303434
1 405 0.387152 0.0978096
0 406 0.108155 0.0348029
1 406 -0.0293887 0.102117
0 407 0.390669 0.0350602
1 407 0.262377 0.10349
0 408 0.496824 0.0380109
1 408 0.363976 0.107139
0 409 0.463214 0.0390445
1 409 0.33281 0.108419
0 410 0.420134 0.0395896
1 410 0.289071 0.107825
0 411 0.0858644 0.0402599
1 411 -0.055261 0.107174
0 412 -0.269717 0.0431357
1 412 -0.375687 0.103449
0 413 0.294505 0.0426791
1 413 0.178346 0.108794
0 414 -0.326321 0.0464371
1 414 -0.425187 0.104711
0 415 -0.176201 0.0476779
1 415 -0.283983 0.107962
0 416 0.443191 0.0493151
1 416 0.31206 0.117914
0 417 -0.194746 0.0500724
1 417 -0.304013 0.10943
0 418 -0.34255 0.0506316
1 418 -0.438402 0.108039
0 419 0.0764654 0.0511488
1 419 -0.0636813 0.118547
0 420 -0.355972 0.0517602
1 420 -0.449863 0.107963
0 421 0.315905 0.052417
1 421 0.195934 0.118148
0 422 0.293812 0.0536988
1 422 0.180332 0.117242
0 423 -0.400357 0.0546624
1 423 -0.527949 0.116806
0 424 -0.125988 0.0543992
1 424 -0.233343 0.115207
0 425 -0.183084 0.0547685
1 425 -0.291226 0.115245
0 426 -0.211427 0.0577161
1 426 -0.31985 0.117095
0 427 0.5088 0.0573118
1 427 0.377016 0.126261
0 428 -0.0841455 0.0618965
1 428 -0.191506 0.122896
0 429 -0.172183 0.0632261
1 429 -0.281488 0.12337
0 430 0.31043 0.0628455
1 430 0.193282 0.128375
0 431 0.408143 0.0629522
1 431 0.279374 0.130488
0 432 -0.186192 0.0639148
1 432 -0.297829 0.123864
0 433 -0.143116 0.0647792
1 433 -0.24717 0.1237
0 434 -0.0701113 0.065209
1 434 -0.178645 0.125588
0 432 -0.194494 0.0665837
0 435 -0.109734 0.0661768
1 435 -0.215503 0.12615
0 436 -0.125898 0.067454
1 436 -0.231256 0.12728
0 437 0.392781 0.0670703
1 437 0.265439 0.134221
0 438 -0.346214 0.0688043
1 438 -0.443317 0.126083
0 439 -0.21758 0.0680523
1 439 -0.326124 0.127971
0 440 -0.330555 0.0685495
1 440 -0.431031 0.124874
0 441 0.302803 0.0696218
1 441 0.187594 0.133961
0 442 0.29349 0.0712519
